ma_thong_tin_hd,ma_dh,ma_sp,don_vi,gia
4ae61e8c-5465-4028-aae0-80f6a5060c88,,,3,83203.23546515945
33fe20f2-1225-4e64-b287-3066cd5d6a7f,,,5,102873.80727740066
b25fd008-31d8-4f08-b46e-2b900f591688,,,3,232791.23875906187
e291e045-4ba3-4671-995f-ca5e5ebd19fe,,,3,837096.9036744279
e57a52fd-ee9a-4c2e-9a3a-5abc6f67494c,,,5,352085.4207450489
c714bb1d-a26d-44c2-be04-de7b87e37a19,,,3,899407.1346277551
4161b4e1-2c1e-4bc7-9e58-a15f36697947,,,4,25685.319444738372
a397a45e-d81c-496c-a096-00cb534fb755,,,5,509537.6694499537
4c5e2383-856c-42ec-bd82-501da1368eac,,,3,276917.1354072931
b06a8b30-76c8-4d78-b711-bdd5c90ca8bd,,,5,74836.66736049348
56214e2a-4874-4c00-a33c-a63035152219,,,2,303245.4720037401
9f26a519-7453-4b56-b7fe-5d9ee0207488,,,3,426730.66540712176
7854f3a5-f478-4f5a-a6bc-8bd9aa7e8371,,,2,349953.62524648773
dc919015-707a-4f09-98d6-3a7dffc72ad7,,,2,789121.7894742675
935081eb-12cb-4671-b652-596d1ba5911d,,,2,76677.842061501
c6e280c4-54f1-4706-ae31-f85f4e0246f8,,,2,478767.55840342725
fdc85347-aa02-41ec-b45b-352c4705ae31,,,3,282888.26469414844
673a8368-5bf6-40eb-bef0-d696b47f911b,,,1,772826.4916523376
e83acda5-cf0b-4f39-8d1a-b23f28f5fa3a,,,3,360270.81076266867
4ec01cde-a125-4e1f-8dea-59a19602ef0a,,,2,757132.263680545
317f1dbe-0fea-41c4-afe0-a0494959219b,,,1,26534.07021103994
0b6e0a42-9284-4b91-8585-3fc8843b3b35,,,1,801873.6722934496
511c8ad4-28b8-436e-bd47-518f687e57e5,,,2,119391.59966756933
1bca2eb8-0a19-4846-8e52-8cdfabdb81cc,,,5,73315.47964430523
5570418e-7eed-41f9-95a3-22b845c97907,,,5,798540.967452831
5700fe69-f767-4db8-b8bf-29b77230239c,,,3,974079.9265390695
5f7c2b47-5b78-4bbc-be14-cad0bca47243,,,5,518664.1173858479
d7c1350f-d345-4efa-8a33-490d6c746ae1,,,5,936557.3782626619
e54a941d-0907-44a8-867c-c77eff534d62,,,3,668322.073307165
7251ff3f-f10a-4f4e-9b69-4fe1ef479295,,,2,959746.6844778572
ba719077-727b-49be-8805-e0dcca392f50,,,3,455954.4862749789
95768f4b-4ffc-4036-96f0-154ea46fcdc6,,,2,151547.079670233
f74766e1-e2fb-40dd-843b-1be85f3e3560,,,3,290172.8134788097
f3b1fec3-5be3-4a66-bd41-06eef69ac71d,,,3,480297.9525550648
a5356cce-41aa-49a4-9ddc-8cd1678a0d6c,,,4,512736.5314702725
ba5be952-4cec-40f7-bcdd-77c015636e57,,,1,123706.85471671178
425a0c60-0243-464c-abcc-859f518a54a7,,,1,541151.8892452267
3d02f4da-c1fb-4f37-923c-7254beb80b5d,,,4,607975.9391009536
caae5168-bdb4-4484-9904-fb4dbbcc6335,,,2,300805.8454534574
51dd6d6c-f9fb-4815-b617-cf2e32da7014,,,5,959441.8533844542
a364351b-db77-47ee-b2f6-3bc784c7f59c,,,3,303316.1438642778
3cbe32ce-7ed2-4683-af5e-95db79b74ac2,,,4,920455.8977479704
d80a330d-3086-4a60-9bed-7adec745f59b,,,4,824917.2330282714
961439fa-0c06-4207-a12e-3dc5f024d516,,,3,321550.3884881229
55412f46-a907-406b-ae36-4a5337092aec,,,4,452348.8806589007
a26119a2-e6a6-464f-a6b4-e50042019f52,,,2,516609.06902432523
ae3edfc7-1409-47e9-ac5e-724a91f1a378,,,5,413379.87123754853
1ced60a7-dfe7-430a-95ab-3e376485df61,,,4,42657.7635735558
c82dd42d-ebdf-4ce7-8173-3d801ac077f1,,,5,436904.6591980304
b813197f-2a43-4a69-8500-727e4bf79505,,,3,40617.17982789592
177f37d2-0de2-4c55-876a-874a54c16783,,,3,360166.6185743534
06f8d055-bda0-48e6-b76c-9c39361534c5,,,4,292956.62889608444
b7d2f1b9-725a-4141-b285-6cd8f47e9d4d,,,1,318727.9488167764
bee1d463-58fe-4c32-a88e-188f95c46ccf,,,1,307910.99553567526
46292bc7-4059-401a-958b-7df913bc752d,,,3,231054.3070675092
bf63394f-2170-414f-b82d-d07d07fcee1e,,,1,790159.8950568488
18e11b50-54bd-4256-9318-b116eda42e2f,,,4,131222.79285639332
55ffbb43-bc48-4eca-bf05-4adfc168683f,,,1,847959.401309896
d19ee156-e737-4d09-893d-a06a31066dcb,,,4,857483.9194403248
7eda71d1-6cd4-43a2-b2af-bd2ea73f9879,,,1,837546.1913987739
127e95ba-5faf-45b7-bf5c-154701217d03,,,1,136212.27826950257
459b4274-0c2f-4f1a-bc05-a81505654ff8,,,4,873177.2592941256
44238a10-ca07-49ce-a418-a357cee8358d,,,2,102159.46080148281
f1ef78af-e543-4a8d-aa5f-4fe8f77617e3,,,3,791686.378870676
c1542bc2-cab7-47a9-b641-8562b920baba,,,5,161374.39041400526
e2b2abe4-5ffa-4727-a53a-3eb51411c279,,,5,408304.87059092056
75c28dad-025b-4a9c-8098-3927fc371812,,,5,462611.5682642946
8dee9036-5c00-4293-9745-8723f754e32e,,,2,371717.5349016422
cea93475-abec-4664-b421-1bd460cfb9e1,,,5,851203.7632371329
a4188d7a-a055-45a1-8371-024851deef8b,,,4,264104.10344215436
9f0a0100-50ee-4741-98ad-2f427819e81f,,,2,751235.3151937457
b9026f55-f62d-44f3-82b5-f7094f271158,,,1,475884.98947764374
57b2732f-55ce-4ebc-86eb-3cdfb6c4a228,,,2,624266.6183425827
a2f836db-fd1a-4c17-9946-4a557e73646a,,,3,885369.2653250707
8ecc8045-3ce1-487d-a454-eaa9180478bd,,,2,761978.8955660921
2acf580b-6b5f-490e-8f73-dd88968069da,,,5,46987.80925214149
4f4b3e7d-195d-43a1-a42a-a651626052bb,,,3,880637.6861434043
85dcb9b5-1829-4a04-8a04-d8c95e9dfc0b,,,2,34606.431486281974
cb3fb0a6-0d30-4b43-8368-4cbe6b645904,,,5,828731.9731094327
5b5c0c9d-f715-4380-8227-7ca10a154063,,,2,797043.6160713441
c7aa8103-c67e-4e91-b686-3461c765dc36,,,4,253469.18320526998
66eaec8a-33cd-4150-86e4-5957081876f6,,,1,162371.29089751863
34fb7cf5-aa29-4002-a836-40ae8726981b,,,2,979177.8175444532
f9996a79-7462-4343-83d9-b3c615226e14,,,5,258363.876797242
795d3c49-a1c9-4d80-9e17-2c43b6c1f653,,,5,604256.8423451533
d033e184-fa83-40bd-8f77-919993292c7c,,,1,257989.047189797
b2aaaf0a-1482-46a6-b6cd-175e88d87072,,,5,297014.87002160866
8fa8d9f1-990b-4429-ae08-94efafd49f30,,,3,696425.8186162919
3976a4b9-0675-4e7d-9fdd-6ffa785802d9,,,3,885430.113126572
ddee0ce0-c70f-4a29-8c70-bd04790ca784,,,1,484008.96870589425
9040e6cb-d0d0-46a7-9887-e87c2f75b7dc,,,5,891276.5484175715
8c6a75e4-cc55-4476-b13d-861e959bab30,,,2,492357.90279218246
74afff05-2dc2-4383-acd8-f0f9ddaa0222,,,4,495881.3796978582
4d10233f-7cc8-4f71-9f6d-2c49ad529445,,,3,58397.57650469972
43f5edf0-5c5d-4fde-8ccd-2d4094036ce9,,,1,288914.4706282963
942b291f-dd18-42c6-bb94-543f425fb1f3,,,5,6035.302766971936
1f87b90b-bcd8-48cf-98da-96a8009c142a,,,1,806313.3861496797
1fb36eb6-2a53-4302-b444-66fc1a37fb5f,,,5,566418.5636359543
b104b718-fa52-4f85-bed9-3b06e44b7f27,,,1,943315.0947562612
57ab8137-28c9-41cd-9397-511cc99b77f0,,,5,168237.35543282414
0c3ff46c-7eab-4026-af52-5fe1b7464926,,,4,855833.0967267385
1e474af5-99d6-4345-9726-c842701c520e,,,2,903315.7212020134
0d923182-5ec0-469f-941f-76c566329b1c,,,1,218525.34467926703
4c9ee69a-d187-4b55-8566-71977dd72a1f,,,3,613621.5874481841
ba6e6b00-3575-4b41-ad3d-3cbb56979ade,,,4,87743.62478710813
763128f2-c957-483f-b90c-ceec5d279591,,,2,728653.6004137709
d93a03a1-54f1-47a6-b9f0-4b60c3507a42,,,1,944322.5162134953
b0e7097c-8f59-41f5-ad79-ef1727bfd492,,,3,267329.01810819964
07c6de97-17dd-4fcb-af31-2b355a8c61e1,,,3,297398.38066739676
198dd82e-c71b-4819-8cb0-f08f516c1050,,,4,695022.9825169425
7791ad83-a868-4c83-b295-f9f48c2c59f3,,,1,798050.151914901
6f439c4e-d092-43dc-b6f0-05323296f16a,,,1,231733.64725688883
e42a8656-1d46-404b-ad56-a163b8e1c33f,,,4,370564.51136166137
e4df2885-0c05-46ed-83fc-8de80cad6a1a,,,3,964540.060099231
1bd08afd-a5e6-486f-b019-2390376c7eae,,,3,964719.3430134155
eb363744-8516-4fe9-9c88-8f980d080c0d,,,5,494684.93692460295
41536f7d-b90a-4390-bd3a-1e51ef7dcc26,,,2,961247.4041998792
92c690b3-62c4-49ae-830f-bb6d8a16dc6e,,,5,604234.2737488247
1c89b28f-0d6e-467b-b806-bf9760772bad,,,2,688693.3909592716
98f76bea-f7b6-4981-80c4-37446c997c66,,,3,898317.7543528043
f7c86316-87b0-4494-8086-4f5399f2f8a1,,,5,351839.8598169263
ede37b5d-56b0-4b93-aef6-2c21588b64c4,,,5,728749.9669874257
8a6f09fa-eac3-41bb-856a-3b0132233abe,,,4,643740.6631864293
8eddeadc-6b1c-4c37-9e6a-2066455d84fa,,,1,643613.9232875649
d833cc9b-3760-46d1-93c5-483a6329bb18,,,4,788581.8824829453
d7056f35-70d5-4d07-8fe6-b60a20018fad,,,5,981762.472121429
308e0baa-7f4b-49b9-be3f-a03549f34d25,,,4,256007.39974768998
8c1c22b9-79b2-47ea-b112-5eeae05ac2ae,,,4,887686.6869614049
c607febe-0267-4b8a-baed-4e71a1bedcb5,,,4,169705.7737943045
af391c38-6e74-47a8-abbf-225804156d3f,,,4,651321.0342245338
2313e914-3afe-4b01-b1bf-0866797a2094,,,5,193643.17351715552
e4082b97-9916-4dd5-bcff-d773138bfa90,,,5,815151.3589706762
dfd1a5ef-4907-45ba-944d-6a3b6ab90db5,,,5,494241.6463075633
b85e7dd3-3ba6-4cd7-b2d0-cf03012f5747,,,2,702548.0798122261
b43fcdcb-ea70-4587-a8fe-31230d17f197,,,2,858825.3777977843
d1487971-b7d3-488e-ab2b-cb36f53c7d42,,,3,324982.58900355565
7f7677db-6590-4661-8fa5-c2907638ff91,,,2,812551.0694127858
2d356020-43e2-4c63-8f2b-e9e2c7fff99a,,,1,368767.38330820145
17938c70-6bf1-4094-b21b-32894dbf1aea,,,4,902731.07506626
e4cece17-1f43-45ad-8b95-5c5349340e05,,,1,569598.3662017701
