ma_don_hang,ngay_dat_hang,so_luong,tong_tien,maKhachHang
4bb9cf78-39f8-409c-93d8-319336e145c1,2023-06-07,10,0.0,
3527cc8e-ec84-4c40-bb29-d8d2be4606cb,2023-02-17,2,0.0,
18a39031-ccc1-461e-9758-1e9d33752806,2023-01-20,2,0.0,
42d24599-82e0-4995-bcab-9fb5bc78d054,2023-01-31,6,0.0,
6fd920cf-f992-42f1-be56-31d61c6c7a4d,2023-07-10,15,0.0,
1c30d8b1-9002-4eb9-9e71-0c24ebac7019,2022-10-13,19,0.0,
200e1221-7396-4df5-a51e-a724596b47a1,2022-10-05,7,0.0,
6f4d55ef-81c7-46ae-bdd7-d9b2e1fdef7d,2022-11-18,20,0.0,
a901ba4d-cc7e-40cc-9a93-d96a040ed4ec,2023-05-16,14,0.0,
9f02c3e2-9c00-45d3-b98f-f28cd58e8229,2023-04-29,10,0.0,
87fe18cf-e072-4741-b9aa-865ecc5f926a,2022-12-06,19,0.0,
a309eccb-ec74-43d5-8948-03ec289b0f6e,2023-06-16,6,0.0,
d9aa3198-211c-4611-a62e-c33da91f4a91,2023-05-25,9,0.0,
de201c97-e2d9-44c9-9ad2-62c72ed29ebe,2022-12-13,16,0.0,
ecd4424f-dbe0-456b-9876-0a302c0c2c93,2023-01-15,16,0.0,
a20f93d0-b86f-4daf-b752-e8c6795c2451,2023-05-31,13,0.0,
2e9c0b60-0675-44c4-b430-3d3007721bf3,2023-06-14,13,0.0,
23005616-7131-42b0-8ace-62d4795289dd,2023-03-08,1,0.0,
51946699-e7d6-4840-802c-e21b3e724c9f,2022-10-21,19,0.0,
50e73233-2815-4346-8e3d-83a4dd84152e,2023-04-05,10,0.0,
2b189633-174e-40f3-83c8-ade6ee1e3a32,2022-11-29,18,0.0,
0d8dab0b-334e-47ae-89c4-fe16e6319b69,2023-08-18,20,0.0,
c4f84f48-84b7-4db3-9c5f-06aebe0f43e6,2022-12-26,20,0.0,
7f3d6361-f3a6-4ede-be37-71d15fd585f2,2023-01-13,19,0.0,
2b55fdac-4e9e-4786-bf36-5a2a96209ab2,2023-08-26,12,0.0,
5a444827-b48a-4e1e-ac8d-b0c83dcffccb,2022-11-27,12,0.0,
0f7eff14-ac53-41f4-b732-7a2664b46444,2023-04-04,6,0.0,
779cf9dc-006d-4dc3-9dde-2d6943b53b2c,2023-09-06,17,0.0,
bb2d6de0-64ee-4ea5-bc99-8d6bf5de889c,2023-05-03,10,0.0,
e73f12a1-e8ae-4710-8aba-6127cf7ad815,2023-09-13,3,0.0,
3b0e5694-c98f-4f05-b7d9-d01537cf1fe7,2023-09-16,16,0.0,
ff0fd2de-49cb-483d-a6f1-b85290e370fc,2023-03-26,10,0.0,
2c6eb6f5-746a-41ff-b556-39c9b90bd12a,2023-04-08,14,0.0,
72671434-0195-421a-bc16-9c7a27099b28,2023-03-08,9,0.0,
a62cc472-1882-4150-8831-84fe24bc65f4,2022-10-03,1,0.0,
0da8b7ac-2fbb-4f4d-b2c6-ba180677c6b9,2023-04-24,15,0.0,
30d2d870-9534-43f6-9018-48d19c0b6ed2,2023-07-13,6,0.0,
a8216078-4424-46ef-9967-ff3bdd716897,2023-08-02,11,0.0,
edc81ff2-df0c-4a2c-8f37-6d07bdf13c0f,2023-08-24,8,0.0,
b3e6b63d-9b2a-43b8-9f20-9b664320127a,2023-09-05,5,0.0,
aea307e9-e395-4e79-9bf2-9d70f873cbb8,2023-08-16,18,0.0,
6dd43a46-e827-4017-91dd-96a98bbc141f,2023-06-15,14,0.0,
bd1b0f56-26c0-4188-b13f-925a7f11e569,2023-06-15,6,0.0,
38456422-f366-42ee-9eb8-80251aeb5a21,2022-10-12,18,0.0,
a64ce236-25a2-4947-8b12-f814f7d7ebda,2023-01-16,15,0.0,
b6f7370a-df2c-4c95-b260-48ff4d47f5ec,2022-12-03,6,0.0,
18a3435f-6051-4904-addf-8b8b97641f33,2022-09-26,9,0.0,
