ma_sp,ten_sp,phan_loai,gia,ngay_nhap_hang,ngay_xuat_hang,mo_ta
9573704074048,Chair,Tools,484081.9181221868,2023-04-07,2023-03-22,"['Esse quia earum vitae voluptatibus amet corporis accusamus.', 'Totam excepturi accusamus officiis dicta magni.', 'Dignissimos earum occaecati fugiat dolorem mollitia.']"
8079615250539,Gently Used Computer,Electronics,932191.3305016095,2022-04-07,2022-03-22,"['Explicabo fuga ipsa assumenda modi incidunt amet fugiat.', 'Delectus esse mollitia modi inventore consequatur tempore.', 'Perspiciatis numquam natus perspiciatis quod soluta voluptatibus.']"
7521262909694,Gloves,Music,728713.6891994494,2023-08-01,2023-07-16,"['Sunt esse atque eveniet culpa.', 'Officiis laudantium in.', 'Eius enim incidunt error laboriosam.']"
3481833856533,Sleek Wooden Tuna,Industrial,112096.49420038743,2023-05-22,2023-05-06,"['Ullam perspiciatis repudiandae animi quod cumque recusandae.', 'Amet corporis a quaerat vero nam iusto deserunt.', 'Officiis fuga molestiae tenetur.']"
3544267825268,Practical Cotton Chair,Industrial,308503.70079578034,2022-05-25,2022-05-09,"['Molestias inventore adipisci rerum officiis.', 'Nobis repellendus quas voluptas et.', 'Quisquam ratione id totam quia.']"
6462332648291,Cotton Table,Movies,883307.1679997167,2023-04-19,2023-04-03,"['Aut eligendi neque in.', 'Illum soluta aperiam deserunt facere.', 'Minus vero doloribus iure fugit.']"
6607074740067,Ergonomic Keyboard,Sports,643818.8698565783,2022-06-09,2022-05-24,"['Maxime cupiditate exercitationem dolor ratione ab.', 'Itaque provident commodi molestias sit in.', 'Molestias temporibus ipsum explicabo sapiente vel.']"
8250698972796,Steel Pizza,Music,659683.1916567251,2023-07-26,2023-07-10,"['Facere dolorum magnam vitae.', 'Impedit quia molestiae ipsam nulla esse ea.', 'Architecto harum quidem harum eligendi.']"
3502455162762,Handmade Rubber Shirt,Garden,227281.04151747323,2022-12-17,2022-12-01,"['Adipisci illum tempore autem ipsa.', 'Tenetur ipsum sapiente facilis laudantium veniam nam.', 'Eaque vero a voluptatibus assumenda.']"
7058598055653,Cheese,Music,148384.27433987512,2023-04-10,2023-03-25,"['Est corrupti vel nisi.', 'Voluptatem vel nobis corporis.', 'Quasi ullam iste libero officiis distinctio.']"
9654208552802,Fantastic Keyboard,Kids,881322.6427646898,2023-04-15,2023-03-30,"['Sint voluptas amet explicabo.', 'Vitae neque reprehenderit illum ipsum ipsam.', 'Doloremque cumque inventore enim repellendus id reprehenderit.']"
6126217002478,Ergonomic Keyboard,Movies,533060.3511689056,2021-11-29,2021-11-13,"['Aut aliquam cupiditate ea.', 'Velit rem repudiandae vero esse quidem nobis.', 'Ducimus iure ipsam commodi odit.']"
4038361253144,Gorgeous Salad,Books,473565.7734176217,2022-07-11,2022-06-25,"['Ratione iusto porro accusantium nisi ipsum asperiores consectetur.', 'Enim similique ducimus quibusdam alias temporibus.', 'Occaecati eveniet exercitationem.']"
0021830362212,For repair Plastic Towels,Jewelery,836528.3383732645,2023-06-10,2023-05-25,"['Nulla dolorem veritatis rem alias.', 'Excepturi culpa minus natus dolores officia repudiandae non.', 'Enim laborum impedit repudiandae adipisci.']"
5529922299651,Sleek Rubber Bike,Kids,892671.3961592414,2022-06-18,2022-06-02,"['Officiis laboriosam eveniet quas distinctio quos excepturi accusamus.', 'Dignissimos totam deleniti rem eligendi aperiam eligendi.', 'A cum dolorem accusantium voluptate nam officia.']"
2023059296345,Ergonomic Fresh Chair,Electronics,892345.1490172967,2023-07-26,2023-07-10,"['In maiores quidem aliquam doloremque explicabo magni.', 'Possimus sed labore voluptates suscipit.', 'Vitae quam impedit earum.']"
1745290335652,Sleek Chair,Computers,127651.30959036725,2022-01-22,2022-01-06,"['Incidunt doloremque earum magni nam molestias omnis.', 'Est vel laudantium sint maxime eos tempora in.', 'Voluptatibus qui commodi accusamus recusandae illum at corporis.']"
